PModel;Intel(R) Core(TM) i7-4700MQ
Task;Sin
OpType;double
Opt;None
InsCount;120;164;142;98;120;164;76;164;76;98;164;142;142;120;120;142;76;120;142;120;76;98;76;142;142;164;164;142;164;98;120;76;54;164;54;142;142;76;120;164;142;120;120;142;120;120;120;120;164;54;142;98;120;142;76;98;120;98;120;120;164;98;76;142;54;120;98;142;120;120;164;98;98;164;120;120;142;142;76;54;120;120;142;98;120;98;164;120;164;120;98;142;164;54;142;120;120;54;142;98;
Timer;std::chrono::high_resolution_clock::now
Time;400;400;400;400;400;400;300;300;300;300;300;300;400;300;400;300;300;400;400;300;300;300;400;400;300;400;300;300;300;400;300;400;400;400;300;400;300;300;300;400;300;300;300;400;300;300;400;400;400;300;300;300;300;400;300;300;300;300;300;300;400;300;300;300;400;300;300;400;300;300;400;400;300;400;300;400;300;300;300;300;400;300;400;300;300;400;400;300;400;300;300;400;400;300;300;300;300;300;400;400;
Lnum;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;
AvTime;340
AbsError;60;60;60;60;60;60;40;40;40;40;40;40;60;40;60;40;40;60;60;40;40;40;60;60;40;60;40;40;40;60;40;60;60;60;40;60;40;40;40;60;40;40;40;60;40;40;60;60;60;40;40;40;40;60;40;40;40;40;40;40;60;40;40;40;60;40;40;60;40;40;60;60;40;60;40;60;40;40;40;40;60;40;60;40;40;60;60;40;60;40;40;60;60;40;40;40;40;40;60;60;
RelError;15;15;15;15;15;15;13.3333;13.3333;13.3333;13.3333;13.3333;13.3333;15;13.3333;15;13.3333;13.3333;15;15;13.3333;13.3333;13.3333;15;15;13.3333;15;13.3333;13.3333;13.3333;15;13.3333;15;15;15;13.3333;15;13.3333;13.3333;13.3333;15;13.3333;13.3333;13.3333;15;13.3333;13.3333;15;15;15;13.3333;13.3333;13.3333;13.3333;15;13.3333;13.3333;13.3333;13.3333;13.3333;13.3333;15;13.3333;13.3333;13.3333;15;13.3333;13.3333;15;13.3333;13.3333;15;15;13.3333;15;13.3333;15;13.3333;13.3333;13.3333;13.3333;15;13.3333;15;13.3333;13.3333;15;15;13.3333;15;13.3333;13.3333;15;15;13.3333;13.3333;13.3333;13.3333;13.3333;15;15;
TaskPerf;0.3;0.41;0.355;0.245;0.3;0.41;0.253333;0.546667;0.253333;0.326667;0.546667;0.473333;0.355;0.4;0.3;0.473333;0.253333;0.3;0.355;0.4;0.253333;0.326667;0.19;0.355;0.473333;0.41;0.546667;0.473333;0.546667;0.245;0.4;0.19;0.135;0.41;0.18;0.355;0.473333;0.253333;0.4;0.41;0.473333;0.4;0.4;0.355;0.4;0.4;0.3;0.3;0.41;0.18;0.473333;0.326667;0.4;0.355;0.253333;0.326667;0.4;0.326667;0.4;0.4;0.41;0.326667;0.253333;0.473333;0.135;0.4;0.326667;0.355;0.4;0.4;0.41;0.245;0.326667;0.41;0.4;0.3;0.473333;0.473333;0.253333;0.18;0.3;0.4;0.355;0.326667;0.4;0.245;0.41;0.4;0.41;0.4;0.326667;0.355;0.41;0.18;0.473333;0.4;0.4;0.18;0.355;0.245;
TaskPerfAv;0.324469
Variance;2400
MeanSquareDeviation;48.9898

PModel;Intel(R) Core(TM) i7-4700MQ
Task;Cos
OpType;double
Opt;None
InsCount;127;127;150;127;58;104;150;127;104;104;173;81;81;81;58;81;104;58;173;81;104;150;150;104;58;127;173;173;127;104;104;104;81;81;150;58;127;127;127;150;150;58;81;104;127;150;58;173;127;81;150;150;150;127;104;150;81;150;81;150;104;150;127;81;150;127;127;81;58;104;104;150;127;104;150;150;81;104;127;81;58;81;104;104;104;104;104;173;150;81;127;35;150;150;104;104;104;150;81;81;
Timer;std::chrono::high_resolution_clock::now
Time;300;400;400;300;300;400;400;400;400;300;400;300;300;300;400;300;300;400;300;300;400;400;300;400;400;300;400;300;300;300;300;400;300;400;400;300;300;300;300;300;300;400;400;400;400;400;300;300;300;300;300;300;300;300;300;400;300;300;300;300;300;400;400;400;300;300;300;400;300;400;300;300;300;400;300;300;300;300;300;300;300;300;300;300;300;300;300;300;400;300;300;300;300;400;300;400;400;300;300;300;
